,train_dataset_size,test_dataset_size,total_correct,total_accuracy,top10_correct,top10_accuracy,train_log_likelihood,train_perplexity,test_log_likelihood,test_perplexity
101,23,577,438,0.759098787,8,0.8,-6454.970165,397.5721552,-59129.51906,111.8182847
102,199,308,226,0.733766234,7,0.7,-71625.10001,325.3432136,-87160.74363,144.8654099
103,64,528,252,0.477272727,1,0.1,-16830.44255,421.3511735,-116261.9195,195.3030941
104,194,279,169,0.605734767,7,0.7,-66199.39967,218.7732944,-75876.55878,123.5549671
105,37,258,207,0.802325581,5,0.5,-27399.3045,82.68914607,-37465.53182,77.67660634
106,44,321,239,0.744548287,0,0,-11823.34475,340.5144506,-73326.78436,172.3400209
107,61,571,283,0.495621716,0,0,-29544.88948,402.7604378,-105976.6502,117.0734681
108,53,386,215,0.556994819,0,0,-13757.81422,641.2894414,-54627.49618,244.6995503
109,40,240,120,0.5,0,0,-13609.91155,606.3346353,-43935.82912,335.2843649
110,91,491,417,0.849287169,0,0,-28859.22265,453.9472692,-113194.5668,323.7378375
111,52,451,330,0.731707317,1,0.1,-16049.43926,246.237753,-62117.30807,142.7936464
112,57,481,96,0.1995842,0,0,-34822.70584,62.70029815,-79579.82763,75.38319226
113,68,552,356,0.644927536,0,0,-16991.14607,507.502457,-95825.58178,205.4654467
114,25,361,237,0.656509695,0,0,-8240.48799,567.5842052,-55040.88912,149.8495436
115,46,357,297,0.831932773,8,0.8,-19346.66067,249.2880749,-82067.68794,160.1871777
116,46,298,201,0.674496644,3,0.3,-10556.48073,727.2437708,-38099.69411,226.4108628
117,13,297,243,0.818181818,7,0.7,-2042.426281,295.9728096,-16423.30605,21.32068254
118,32,293,261,0.890784983,0,0,-7917.731539,566.8082327,-42344.95769,94.07420692
119,26,271,199,0.734317343,0,0,-6117.078049,165.0817459,-35294.32837,101.1310793
120,54,415,290,0.698795181,3,0.3,-12121.32701,575.412801,-49429.61221,159.4969664
121,81,597,485,0.81239531,0,0,-28093.1191,154.976695,-242434.431,80.04370759
122,70,393,323,0.821882952,8,0.8,-21153.48187,517.5407105,-59536.68,294.9439832
123,51,342,271,0.792397661,0,0,-14585.01644,544.0111377,-52001.71706,154.3532138
124,33,250,117,0.468,0,0,-15507.96404,631.3581066,-68717.24858,429.7371705
125,36,544,376,0.691176471,0,0,-10278.51887,484.1051941,-84930.91887,219.1795108
126,29,270,132,0.488888889,9,0.9,-4978.35092,393.1221671,-28574.15052,33.25547513
127,32,238,97,0.407563025,0,0,-9271.86998,547.504112,-27608.05796,279.2086466
128,51,276,200,0.724637681,0,0,-15766.8602,437.2870557,-52313.96442,85.70270512
129,72,507,333,0.656804734,0,0,-19773.36926,559.9876377,-93612.24684,236.316433
130,24,307,235,0.765472313,0,0,-10362.20632,216.1481809,-54314.49697,86.97220262
131,31,252,176,0.698412698,0,0,-22651.50476,80.51587068,-94415.36273,59.73135269
132,103,446,413,0.926008969,1,0.1,-27709.29146,433.1430456,-70251.56432,290.6433803
133,47,380,220,0.578947368,1,0.1,-9108.566324,619.771229,-43403.70061,238.9385821
134,31,351,223,0.635327635,0,0,-6130.363832,593.3109769,-39455.25432,50.13355301
135,29,501,413,0.824351297,8,0.8,-28620.4825,476.4310497,-216754.8223,265.3224158
136,46,452,311,0.688053097,1,0.1,-13341.64576,742.8127533,-62919.10319,379.7333226
137,50,325,260,0.8,0,0,-12143.41366,506.7917077,-37550.48946,329.7867902
138,98,328,258,0.786585366,0,0,-29501.98106,491.0988332,-58221.08612,201.8614782
139,21,253,224,0.885375494,0,0,-3723.605335,417.5788766,-23776.31487,125.9625017
140,59,432,299,0.69212963,1,0.1,-17350.10033,423.7780498,-67577.15586,148.2078288
141,56,379,264,0.696569921,2,0.2,-16036.32354,564.7481725,-68410.10615,183.8883038
142,28,198,159,0.803030303,0,0,-3550.579166,328.0449146,-17287.23877,17.03783846
143,52,417,261,0.625899281,0,0,-18231.50182,493.3820644,-71280.33025,325.2809569
144,50,380,219,0.576315789,0,0,-11541.25631,500.8538365,-34114.34373,207.6846187
145,95,488,258,0.528688525,0,0,-22277.3494,407.7058182,-66597.87522,324.806923
146,32,280,150,0.535714286,4,0.4,-8318.166497,493.0556358,-38239.26381,270.0093863
147,62,380,166,0.436842105,0,0,-18221.09974,501.3326111,-75710.03905,162.146037
148,33,380,194,0.510526316,7,0.7,-8275.390688,389.1433856,-52818.81168,96.65874999
149,26,449,355,0.79064588,0,0,-5762.483183,529.9690024,-59148.55875,162.0349401
150,51,371,254,0.684636119,0,0,-16831.24446,468.7590799,-61262.6402,159.5123366
