,train_dataset_size,test_dataset_size,total_correct,total_accuracy,top10_correct,top10_accuracy,train_log_likelihood,train_perplexity,test_log_likelihood,test_perplexity
101,23,577,372,0.644714038,8,0.8,-515.169364,6615.645742,-5862.518816,633.1676437
102,199,308,149,0.483766234,0,0,-5799.870234,8396.555199,-6823.307163,5272.106013
103,64,528,184,0.348484848,2,0.2,-1450.326732,10398.11302,-7246.051906,1905.871543
104,194,279,185,0.663082437,0,0,-5661.168296,8149.67296,-6131.230195,4777.647383
105,37,258,193,0.748062016,0,0,-741.7312697,6944.454356,-2608.157388,900.3307315
106,44,321,84,0.261682243,1,0.1,-825.5385647,5442.020841,-3785.723397,1090.669934
107,61,571,150,0.262697023,0,0,-1410.124373,14905.76019,-7888.57399,2414.717161
108,53,386,94,0.243523316,2,0.2,-1131.17856,7495.668233,-5146.129776,1419.699789
109,40,240,129,0.5375,4,0.4,-1062.097073,6777.095667,-4093.1248,1857.609283
110,91,491,53,0.107942974,0,0,-2544.677332,8466.793201,-9718.791726,2322.317592
111,52,451,77,0.170731707,0,0,-996.5474535,6698.21565,-5274.069872,1133.490981
112,57,481,46,0.095634096,1,0.1,-868.2269342,3902.283969,-4746.843175,729.700802
113,68,552,433,0.78442029,0,0,-1416.893447,7226.283413,-7220.440219,1506.684666
114,25,361,299,0.828254848,0,0,-558.4242671,6856.129485,-4622.800395,1040.622133
115,46,357,294,0.823529412,0,0,-938.1617357,5174.051527,-4154.020432,1221.276819
116,46,298,171,0.573825503,4,0.4,-962.8128623,7610.620556,-3877.675643,1619.438241
117,13,297,265,0.892255892,1,0.1,-231.6810502,5602.885776,-2307.366957,400.4108363
118,32,293,63,0.215017065,0,0,-670.2858558,7428.371867,-3546.373845,1215.887876
119,26,271,81,0.298892989,3,0.3,-492.3465879,4268.777744,-2881.183292,651.7773343
120,54,415,255,0.614457831,0,0,-1034.496283,5204.771443,-4658.324936,1150.690357
121,81,597,508,0.850921273,1,0.1,-2045.279096,8953.846477,-10426.40942,2211.214273
122,70,393,51,0.129770992,4,0.4,-2110.381298,12368.48368,-6858.282111,2636.5911
123,51,342,74,0.216374269,2,0.2,-1088.399688,6572.750845,-4173.238519,1408.242989
124,33,250,217,0.868,0,0,-994.3133231,12707.43317,-4848.891997,2327.50468
125,36,544,255,0.46875,4,0.4,-756.3280731,5288.014402,-6307.971106,729.2844994
126,29,270,102,0.377777778,8,0.8,-549.4037592,3711.657858,-2766.58455,798.8477235
127,32,238,193,0.81092437,0,0,-726.3725642,9334.300829,-2877.967755,1407.582128
128,51,276,217,0.786231884,0,0,-1241.111651,10058.53518,-4001.084273,2267.690926
129,72,507,123,0.24260355,1,0.1,-1907.706772,10464.71598,-7914.117555,2368.045582
130,24,307,291,0.947882736,0,0,-456.9581336,5980.766855,-2881.457095,697.5043885
131,31,252,158,0.626984127,0,0,-588.122204,8003.426068,-2974.514113,1026.469142
132,103,446,276,0.618834081,0,0,-2603.375042,6821.03745,-7605.964306,2386.759013
133,47,380,352,0.926315789,8,0.8,-924.597451,9050.083608,-4537.784521,1327.901071
134,31,351,284,0.809116809,0,0,-664.7958987,5525.060743,-3756.406448,1031.11756
135,29,501,411,0.820359281,8,0.8,-876.1149058,17681.50821,-8399.574758,1841.759977
136,46,452,97,0.21460177,3,0.3,-1150.321974,9563.581761,-6502.141417,1802.280398
137,50,325,26,0.08,1,0.1,-964.5690083,8774.59596,-3839.744189,1586.566394
138,98,328,284,0.865853659,0,0,-2783.863953,6672.771486,-5813.950281,2569.729559
139,21,253,219,0.865612648,0,0,-405.0925496,7921.108455,-2712.062483,802.3018008
140,59,432,152,0.351851852,2,0.2,-1112.933074,6943.217989,-5055.213671,1393.987444
141,56,379,93,0.245382586,5,0.5,-1382.168842,12749.44275,-5128.681792,2008.228958
142,28,198,123,0.621212121,0,0,-491.8827061,3098.293308,-1975.300543,729.2999737
143,52,417,42,0.100719424,0,0,-1378.524063,8967.764766,-6376.578387,1856.545255
144,50,380,263,0.692105263,0,0,-1080.758776,8639.294208,-4184.748742,1365.345415
145,95,488,444,0.909836066,0,0,-2161.645637,6865.854096,-6917.663934,2065.090613
146,32,280,151,0.539285714,0,0,-711.296846,5433.975143,-3738.668959,1082.893013
147,62,380,54,0.142105263,1,0.1,-1457.84747,9896.229773,-5637.764806,2333.884578
148,33,380,152,0.4,2,0.2,-666.2340632,5753.903379,-4568.53112,801.5470527
149,26,449,86,0.191536748,0,0,-498.8288189,5654.895658,-4796.714638,689.8148547
150,51,371,121,0.326145553,0,0,-1094.831896,4699.868556,-4631.532304,1028.793357
